,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/output132,4.455,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/restart132,1.353,Andrew Kiss,2021-02-25T18:32:21,18128381,3,"[17854122, 17999313, 18005667]",normalbw,98.96,0.31416666666666665,98.7572131147541,0.31352288251366117,,,,265.339999999851,252,216,24,0.182,193.566017,201.5,204.08,"[16, 15]",cartesian,15,300,5400,80,1,2f99bda50e774d4088d35f9b0fbec815d257d4b9,2021-02-25 18:11:53 +1100,,,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/output133,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/restart133,1.354,Andrew Kiss,2021-02-25T18:51:23,18128780,0,[],normalbw,97.91,0.31083333333333335,97.97706164383561,0.31104623287671235,0.006388888888888888,7407.55166374781,75.60495833887735,262.0099999997765,252,216,24,0.151,153.278685,200.43,162.58,"[16, 15]",cartesian,15,300,5400,80,1,c64d97432baec3a9e9e15cb817cf1c3f01c7014f,2021-02-25 18:34:05 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-02-25 18:34:05: Run 133'],4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/output134,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/restart134,1.354,Andrew Kiss,2021-02-25T22:40:51,18137009,0,[],normalbw,93.54,0.29694444444444446,93.60406849315069,0.2971478310502283,3.5275,587.0029052876234,6.271125974941746,203.12999999988824,252,216,24,0.161,163.19512,192.02,174.01,"[16, 15]",cartesian,15,300,5400,80,1,929e91e47216cfff258b958d9fc7e23514840ff8,2021-02-25 22:23:12 +1100,manifests/restart.yaml,['2021-02-25 22:23:12: Run 134'],4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/output135,4.447,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/restart135,1.354,Andrew Kiss,2021-02-25T23:20:50,18138664,0,[],normalbw,94.15,0.29888888888888887,94.21448630136987,0.29909360730593604,0.36750000000000005,3390.8128386827843,35.990355324300936,262.09999999962747,252,216,24,0.161,163.997941,193.75,174.75,"[16, 15]",cartesian,15,300,5400,80,1,42a0a3788098a1b166f175281bc4325f99f642c5,2021-02-25 23:03:27 +1100,manifests/restart.yaml,['2021-02-25 23:03:27: Run 135'],4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/output136,4.456,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/restart136,1.354,Andrew Kiss,2021-02-26T00:00:43,18140341,0,[],normalbw,93.97,0.29833333333333334,93.77743852459017,0.2977219945355191,0.3663888888888889,3392.8157124947766,36.17944535353371,262.34999999962747,252,216,24,0.145,145.900643,193.57,155.81,"[16, 15]",cartesian,15,300,5400,80,1,f7ea11ae6c38c42d6ea8e285198fe0aa5e0e4fc6,2021-02-25 23:43:37 +1100,manifests/restart.yaml,['2021-02-25 23:43:37: Run 136'],4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/output137,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/restart137,1.354,Andrew Kiss,2021-02-26T00:30:11,18141576,0,[],normalbw,91.61,0.29083333333333333,91.67274657534246,0.2910325342465753,0.20027777777777778,4476.868778280543,48.835329424772596,202.79000000003725,252,216,24,0.15,151.320103,198.52,161.91,"[16, 15]",cartesian,15,300,5400,80,1,48622c05d1ada7b0e70b92fe4f6bc6143c547c96,2021-02-26 00:13:03 +1100,manifests/restart.yaml,['2021-02-26 00:13:02: Run 137'],4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/output138,4.445,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/restart138,1.354,Andrew Kiss,2021-02-26T01:04:32,18141951,0,[],normalbw,90.91,0.2886111111111111,90.97226712328766,0.2888087899543379,0.2838888888888889,3811.07423580786,41.8927037472091,203.25,252,216,24,0.146,145.815041,194.81,156.31,"[16, 15]",cartesian,15,300,5400,80,1,c108c6a63f0489dae144bbc6c43bfdf29338dff2,2021-02-26 00:47:33 +1100,manifests/restart.yaml,['2021-02-26 00:47:33: Run 138'],4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/output139,4.447,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/restart139,1.354,Andrew Kiss,2021-02-26T01:35:23,18142197,0,[],normalbw,90.83,0.28833333333333333,90.89221232876712,0.2885308219178082,0.22583333333333333,4239.714748784441,46.64552264883736,203.0800000000745,252,216,24,0.148,147.818136,191.4,158.08,"[16, 15]",cartesian,15,300,5400,80,1,87d3ad8b919caa0aa13b2d714c49bdd65f167ad3,2021-02-26 01:18:22 +1100,manifests/restart.yaml,['2021-02-26 01:18:22: Run 139'],4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/output140,4.448,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/restart140,1.354,Andrew Kiss,2021-02-26T02:08:09,18142561,0,[],normalbw,90.74,0.28805555555555556,90.55405737704918,0.2874652777777778,0.25805555555555554,3987.75991861648,44.03734116531341,203.62000000011176,252,216,24,0.145,145.109485,189.73,155.29,"[16, 15]",cartesian,15,300,5400,80,1,c946171335f3d9eedcbbafad3dcccca431b48231,2021-02-26 01:51:11 +1100,manifests/restart.yaml,['2021-02-26 01:51:11: Run 140'],4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/output141,4.437,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble/restart141,1.354,Andrew Kiss,2021-02-26T02:46:07,18143164,0,[],normalbw,91.96,0.29194444444444445,92.02298630136985,0.29214440639269407,0.3408333333333333,3487.859525899912,37.90204671773395,203.21999999973923,252,216,24,0.154,155.197665,195.43,166.35,"[16, 15]",cartesian,15,300,5400,80,1,4aeda52328a014a3eaac5fe60853d96ac26f698a,2021-02-26 02:28:56 +1100,manifests/restart.yaml,['2021-02-26 02:28:56: Run 141'],4940640
