,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_16,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/output132,4.458,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/restart132,1.353,Andrew Kiss,2021-02-25T22:21:30,18136270,0,[],normalbw,92.58,0.29388888888888887,92.3902868852459,0.2932866575591985,,,,191.29999999981374,252,216,24,0.159,162.018199,196.68,173.06,"[16, 15]",cartesian,15,300,5400,80,1,b1fd6a0f3a0aca17c807a19fea5ce7f096ba61f2,2021-02-25 22:04:06 +1100,,,5400,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_16,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/output133,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/restart133,1.354,Andrew Kiss,2021-02-25T22:51:20,18138025,0,[],normalbw,91.88,0.2916666666666667,91.9429315068493,0.2918664383561644,0.20555555555555555,4434.878212290503,48.235118672065894,192.40000000037253,252,216,24,0.147,147.323788,196.84,158.47,"[16, 15]",cartesian,15,300,5400,80,1,23e4c9edc12c7979414fe7803f271a6062d39eac,2021-02-25 22:34:08 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-02-25 22:34:08: Run 133'],5400,4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_16,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/output134,4.45,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/restart134,1.354,Andrew Kiss,2021-02-25T23:32:52,18139000,0,[],normalbw,94.76,0.30083333333333334,94.82490410958904,0.30103938356164384,0.39138888888888884,3285.418940609952,34.64721606059308,192.339999999851,252,216,24,0.149,149.131328,189.0,159.95,"[16, 15]",cartesian,15,300,5400,80,1,2f8a2c6cb22a88ba153c019cba00465994541d4b,2021-02-25 23:15:07 +1100,manifests/restart.yaml,['2021-02-25 23:15:07: Run 134'],5400,4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_16,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/output135,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/restart135,1.354,Andrew Kiss,2021-02-26T00:10:28,18140690,0,[],normalbw,91.61,0.29083333333333333,91.67274657534246,0.2910325342465753,0.3358333333333334,3508.4680851063827,38.27165887544235,192.54999999981374,252,216,24,0.146,146.355444,192.82,157.0,"[16, 15]",cartesian,15,300,5400,80,1,d0f3e7a10ccfb2f1953cb5f6f4ab8e6056773780,2021-02-25 23:53:07 +1100,manifests/restart.yaml,['2021-02-25 23:53:07: Run 135'],5400,4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_16,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/output136,4.461,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/restart136,1.354,Andrew Kiss,2021-02-26T00:43:56,18141742,0,[],normalbw,91.09,0.2891666666666667,90.90334016393443,0.28857411202185795,0.26861111111111113,3919.4103585657367,43.116241399903465,192.71999999973923,252,216,24,0.145,145.769272,196.71,156.96,"[16, 15]",cartesian,15,300,5400,80,1,849788915e6bf95354c6576fa25878b11c2e0309,2021-02-26 00:26:49 +1100,manifests/restart.yaml,['2021-02-26 00:26:48: Run 136'],5400,4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_16,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/output137,4.453,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/restart137,1.354,Andrew Kiss,2021-02-26T01:16:19,18142067,0,[],normalbw,91.35,0.29,91.41256849315067,0.29019863013698627,0.24972222222222223,4062.0895522388055,44.43688235872256,192.46999999973923,252,216,24,0.146,146.100589,198.76,157.58,"[16, 15]",cartesian,15,300,5400,80,1,3d894982a0ea1b8f15b1855ca230643f0877e76c,2021-02-26 00:59:09 +1100,manifests/restart.yaml,['2021-02-26 00:59:08: Run 137'],5400,4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_16,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/output138,4.448,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/restart138,1.354,Andrew Kiss,2021-02-26T01:50:10,18142279,0,[],normalbw,91.0,0.28888888888888886,91.06232876712329,0.2890867579908675,0.27527777777777784,3871.1964549483014,42.51150291629638,203.339999999851,252,216,24,0.143,142.721175,197.93,153.96,"[16, 15]",cartesian,15,300,5400,80,1,1e8d2a0579d4e1b0e3f8c7b75e2b2658eebdd0a1,2021-02-26 01:33:07 +1100,manifests/restart.yaml,['2021-02-26 01:33:07: Run 138'],5400,4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_16,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/output139,4.45,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/restart139,1.354,Andrew Kiss,2021-02-26T02:19:17,18142786,0,[],normalbw,92.31,0.29305555555555557,92.37322602739727,0.2932562785388128,0.19222222222222218,4565.302804808243,49.422359715511135,192.55999999959022,252,216,24,0.145,145.527586,193.68,156.57,"[16, 15]",cartesian,15,300,5400,80,1,6c3d8098c72b100f68a77ec8ebb7c134b647646b,2021-02-26 02:01:58 +1100,manifests/restart.yaml,['2021-02-26 02:01:58: Run 139'],5400,4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_16,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/output140,4.453,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/restart140,1.354,Andrew Kiss,2021-02-26T03:02:35,18143250,0,[],normalbw,90.56,0.2875,90.3744262295082,0.2869108606557377,0.4341666666666667,3011.6951501154736,33.32463923441345,192.839999999851,252,216,24,0.143,143.361737,193.23,154.42,"[16, 15]",cartesian,15,300,5400,80,1,c59c4e6a91051611ce8706e435cc780059dcac23,2021-02-26 02:45:38 +1100,manifests/restart.yaml,['2021-02-26 02:45:38: Run 140'],5400,4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_16,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/output141,4.441,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_16/restart141,1.354,Andrew Kiss,2021-02-26T03:38:32,18143606,0,[],normalbw,91.88,0.2916666666666667,91.9429315068493,0.2918664383561644,0.30749999999999994,3680.311543810849,40.02821623690216,261.70000000018626,252,216,24,0.144,143.375818,199.2,154.89,"[16, 15]",cartesian,15,300,5400,80,1,1f130b60e394354d994cf1fd11e08b0c3d388ca1,2021-02-26 03:21:36 +1100,manifests/restart.yaml,['2021-02-26 03:21:36: Run 141'],5400,4940640
