,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output132,4.456,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart132,1.353,Andrew Kiss,2021-02-25T22:02:53,18136248,0,[],normalbw,93.01,0.29527777777777775,92.81940573770493,0.2946727003642987,,,,198.410000000149,252,216,24,0.166,171.193384,200.95,181.14,"[16, 15]",cartesian,15,300,5400,80,1,671d9ced661675cf64e0bd39488fce91047bebbb,2021-02-25 21:45:24 +1100,,,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output133,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart133,1.354,Andrew Kiss,2021-02-25T22:32:48,18136922,0,[],normalbw,94.41,0.2997222222222222,94.47466438356165,0.2999275114155251,0.1988888888888889,4544.303064066852,48.10075901002671,203.29999999981374,252,216,24,0.155,156.665135,197.84,167.72,"[16, 15]",cartesian,15,300,5400,80,1,22deabe52b906374b5513f0605e182ba045ad772,2021-02-25 22:15:09 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-02-25 22:15:09: Run 133'],4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output134,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart134,1.354,Andrew Kiss,2021-02-25T23:13:09,18138439,0,[],normalbw,96.34,0.30583333333333335,96.40598630136986,0.3060428082191781,0.36666666666666664,3438.1561338289966,35.66330542048655,262.0800000000745,252,216,24,0.181,188.839056,193.71,199.47,"[16, 15]",cartesian,15,300,5400,80,1,362566fd664b6d1d8a30768b5d93a6fa8f594179,2021-02-25 22:55:23 +1100,manifests/restart.yaml,['2021-02-25 22:55:23: Run 134'],4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output135,4.447,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart135,1.354,Andrew Kiss,2021-02-25T23:52:48,18139912,0,[],normalbw,94.5,0.3,94.56472602739726,0.3002054794520548,0.3608333333333334,3432.0302648171496,36.29292241403864,202.29999999981374,252,216,24,0.168,171.854047,190.64,182.43,"[16, 15]",cartesian,15,300,5400,80,1,c36123c653a181231c5392a59fec1b4fefd8574a,2021-02-25 23:35:02 +1100,manifests/restart.yaml,['2021-02-25 23:35:02: Run 135'],4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output136,4.458,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart136,1.354,Andrew Kiss,2021-02-26T00:28:14,18141323,0,[],normalbw,91.09,0.2891666666666667,90.90334016393443,0.28857411202185795,0.3013888888888888,3701.8701787394175,40.72314803904335,203.589999999851,252,216,24,0.148,148.337079,192.79,159.25,"[16, 15]",cartesian,15,300,5400,80,1,ad048551643e5c2e1ecfa38942ed81d7e62d1be6,2021-02-26 00:11:12 +1100,manifests/restart.yaml,['2021-02-26 00:11:12: Run 136'],4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output137,4.45,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart137,1.354,Andrew Kiss,2021-02-26T01:01:31,18141934,0,[],normalbw,90.47,0.2872222222222222,90.53196575342466,0.28741894977168947,0.2675,3914.1752628943414,43.235284137705534,202.87999999988824,252,216,24,0.145,145.167844,195.3,156.09,"[16, 15]",cartesian,15,300,5400,80,1,39bdc263e15aa3873fa8d53976652adcd2f2b5fd,2021-02-26 00:44:35 +1100,manifests/restart.yaml,['2021-02-26 00:44:35: Run 137'],4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output138,4.445,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart138,1.354,Andrew Kiss,2021-02-26T01:33:42,18142186,0,[],normalbw,90.74,0.28805555555555556,90.8021506849315,0.2882528538812785,0.24833333333333335,4060.0393578456756,44.71303077317346,202.71999999973923,252,216,24,0.146,145.805026,195.77,156.31,"[16, 15]",cartesian,15,300,5400,80,1,d00dab6357eaad1fd0c9643a6a4bd066a1f3ab84,2021-02-26 01:16:44 +1100,manifests/restart.yaml,['2021-02-26 01:16:44: Run 138'],4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output139,4.447,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart139,1.354,Andrew Kiss,2021-02-26T02:01:27,18142544,0,[],normalbw,92.31,0.29305555555555557,92.37322602739727,0.2932562785388128,0.16944444444444445,4790.14054054054,51.85637382762639,202.95000000018626,252,216,24,0.15,150.887417,192.53,161.92,"[16, 15]",cartesian,15,300,5400,80,1,470a9ea9d326d77b981a8ad04462871a8ff5da2a,2021-02-26 01:44:00 +1100,manifests/restart.yaml,['2021-02-26 01:43:59: Run 139'],4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output140,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart140,1.354,Andrew Kiss,2021-02-26T02:44:25,18142934,0,[],normalbw,90.91,0.2886111111111111,90.72370901639344,0.2880196948998178,0.42750000000000005,3046.789759503491,33.583170182702155,193.0,252,216,24,0.145,144.522332,189.57,155.02,"[16, 15]",cartesian,15,300,5400,80,1,7155343bb7caf8864d5acb3a5cf6084f7e58e176,2021-02-26 02:27:21 +1100,manifests/restart.yaml,['2021-02-26 02:27:21: Run 140'],4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output141,4.439,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart141,1.354,Andrew Kiss,2021-02-26T03:20:46,18143402,0,[],normalbw,90.3,0.2866666666666667,90.36184931506848,0.28686301369863015,0.31916666666666665,3577.2214580467676,39.58774067996238,203.12999999988824,252,216,24,0.143,142.092645,197.4,153.59,"[16, 15]",cartesian,15,300,5400,80,1,51c1d28a858292bcd4ea6fb10512c4b2b0e4329d,2021-02-26 03:03:42 +1100,manifests/restart.yaml,['2021-02-26 03:03:42: Run 141'],4940640
,142,1978-01-01T00:00:00,1979-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output142,4.441,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart142,1.354,Andrew Kiss,2021-02-26T03:56:47,18143769,0,[],normalbw,91.53,0.29055555555555557,91.59269178082192,0.2907545662100457,0.30972222222222223,3659.505784359093,39.954124212400714,261.70999999996275,252,216,24,0.146,145.606411,200.2,156.95,"[16, 15]",cartesian,15,300,5400,80,1,422c1cfd2eedff265f9047d696e2b015774d1716,2021-02-26 03:39:55 +1100,manifests/restart.yaml,['2021-02-26 03:39:55: Run 142'],4975680
,143,1979-01-01T00:00:00,1980-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output143,4.435,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart143,1.354,Andrew Kiss,2021-02-26T04:32:49,18143984,0,[],normalbw,89.78,0.285,89.84149315068493,0.28519520547945204,0.31555555555555553,3587.8778908418135,39.93564404393985,202.30999999959022,252,216,24,0.143,142.125644,198.48,153.38,"[16, 15]",cartesian,15,300,5400,80,1,f2a3cf4a9ad78e95d0b6d864b6b0ba083396f21a,2021-02-26 04:15:55 +1100,manifests/restart.yaml,['2021-02-26 04:15:55: Run 143'],5010720
,144,1980-01-01T00:00:00,1981-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output144,4.438,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart144,1.354,Andrew Kiss,2021-02-26T05:08:26,18144222,0,[],normalbw,89.6,0.28444444444444444,89.41639344262295,0.2838615664845173,0.30916666666666665,3622.5737014506312,40.513529588678594,202.73000000044703,252,216,24,0.14,138.527144,199.08,149.83,"[16, 15]",cartesian,15,300,5400,80,1,6fdb220524c54f1c6f1216da805578244d2959b1,2021-02-26 04:51:37 +1100,manifests/restart.yaml,['2021-02-26 04:51:37: Run 144'],5045760
,145,1981-01-01T00:00:00,1982-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output145,4.435,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart145,1.354,Andrew Kiss,2021-02-26T05:43:52,18144389,0,[],normalbw,90.04,0.28583333333333333,90.10167123287671,0.2860291095890411,0.30472222222222217,3659.198494825965,40.611882607242684,202.55999999959022,252,216,24,0.142,141.151672,193.51,152.02,"[16, 15]",cartesian,15,300,5400,80,1,232634af29a06c6b1e9d211a8fd74936ed0c40d8,2021-02-26 05:26:56 +1100,manifests/restart.yaml,['2021-02-26 05:26:56: Run 145'],5080800
,146,1982-01-01T00:00:00,1983-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output146,4.444,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart146,1.354,Andrew Kiss,2021-02-26T06:19:30,18144571,0,[],normalbw,89.69,0.2847222222222222,89.75143150684931,0.28491723744292236,0.3091666666666667,3624.5163704396628,40.383939393357316,200.20999999996275,252,216,24,0.14,139.478992,195.92,150.65,"[16, 15]",cartesian,15,300,5400,80,1,b0d212ba90bd493d5f6be9cf24a6b0c7e5e15372,2021-02-26 06:02:40 +1100,manifests/restart.yaml,['2021-02-26 06:02:40: Run 146'],5115840
,147,1983-01-01T00:00:00,1984-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output147,4.433,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart147,1.355,Andrew Kiss,2021-02-26T06:55:34,18144758,0,[],normalbw,90.65,0.2877777777777778,90.7120890410959,0.2879748858447489,0.31333333333333335,3619.2975970425136,39.8987349459325,203.4199999999255,252,216,24,0.148,147.819954,195.26,158.84,"[16, 15]",cartesian,15,300,5400,80,1,8e07c58e56ce8a495b0dff0133be4a658cc07f6f,2021-02-26 06:38:27 +1100,manifests/restart.yaml,['2021-02-26 06:38:27: Run 147'],5150880
,148,1984-01-01T00:00:00,1985-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output148,4.441,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart148,1.354,Andrew Kiss,2021-02-26T07:31:37,18144964,0,[],normalbw,91.26,0.2897222222222222,91.0729918032787,0.28912852914389797,0.3111111111111111,3645.337031900139,40.02654310263807,203.54000000003725,252,216,24,0.154,154.810765,197.16,166.02,"[16, 15]",cartesian,15,300,5400,80,1,97db5788f0e53d90919ee7c7dd3fbabf8b22c420,2021-02-26 07:14:27 +1100,manifests/restart.yaml,['2021-02-26 07:14:27: Run 148'],5185920
,149,1985-01-01T00:00:00,1986-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output149,4.429,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart149,1.354,Andrew Kiss,2021-02-26T08:06:29,18145735,0,[],normalbw,89.34,0.2836111111111111,89.40119178082192,0.2838053652968036,0.29750000000000004,3689.7590822179727,41.27192276433936,202.24000000022352,252,216,24,0.141,139.866222,194.62,150.84,"[16, 15]",cartesian,15,300,5400,80,1,a769aa4c774f4e496e0e7c70273dcdf97883eac3,2021-02-26 07:49:42 +1100,manifests/restart.yaml,['2021-02-26 07:49:42: Run 149'],5220960
,150,1986-01-01T00:00:00,1987-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output150,4.435,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart150,1.354,Andrew Kiss,2021-02-26T08:42:30,18145972,0,[],normalbw,92.31,0.29305555555555557,92.37322602739727,0.2932562785388128,0.30722222222222223,3690.6913465987964,39.954124212400714,261.9900000002235,252,216,24,0.145,144.689452,196.5,155.83,"[16, 15]",cartesian,15,300,5400,80,1,475196083bc9e2be96fb331bba8147d206d6a2bc,2021-02-26 08:25:34 +1100,manifests/restart.yaml,['2021-02-26 08:25:34: Run 150'],5256000
,151,1987-01-01T00:00:00,1988-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output151,4.436,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart151,1.355,Andrew Kiss,2021-02-26T09:20:32,18146417,0,[],normalbw,90.04,0.28583333333333333,90.10167123287671,0.2860291095890411,0.3480555555555555,3409.0517090271696,37.83561017659858,207.15000000037253,252,216,24,0.145,144.801874,194.93,156.0,"[16, 15]",cartesian,15,300,5400,80,1,072b0f28308f1bdd7f14fd370bcaf77bacb91bf5,2021-02-26 09:03:42 +1100,manifests/restart.yaml,['2021-02-26 09:03:42: Run 151'],5291040
,152,1988-01-01T00:00:00,1989-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output152,4.444,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart152,1.355,Andrew Kiss,2021-02-26T12:02:38,18153446,0,[],normalbw,94.76,0.30083333333333334,94.56581967213116,0.30021687158469945,2.4008333333333334,841.7914867365823,8.901646384022841,192.78000000026077,252,216,24,0.172,178.501637,191.52,189.69,"[16, 15]",cartesian,15,300,5400,80,1,9b92798fe45ab2ea187d749b67a1a974271d8cf5,2021-02-26 11:44:56 +1100,manifests/restart.yaml,['2021-02-26 11:44:56: Run 152'],5326080
,153,1989-01-01T00:00:00,1990-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output153,4.435,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart153,1.355,Andrew Kiss,2021-02-26T13:41:16,18156604,0,[],normalbw,92.75,0.29444444444444445,92.81352739726027,0.2946461187214612,1.3494444444444444,1354.1061169313957,14.58953403565359,262.6900000004098,252,216,24,0.157,157.935978,194.85,168.04,"[16, 15]",cartesian,15,300,5400,80,1,ba500999ebdfdd783fca0a4d3e4f4f7e3377338c,2021-02-26 13:24:09 +1100,manifests/restart.yaml,['2021-02-26 13:24:09: Run 153'],5361120
,154,1990-01-01T00:00:00,1991-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_5,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/output154,4.432,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_5/restart154,1.355,Andrew Kiss,2021-02-26T14:30:48,18161834,0,[],normalbw,94.94,0.3013888888888889,95.00502739726026,0.30159531963470315,0.5241666666666667,2760.0323014804844,29.051434193471717,261.5,252,216,24,0.162,165.648264,203.31,176.97,"[16, 15]",cartesian,15,300,5400,80,1,7ea32f22ca1bf9ca07703184bb565e9d3b1fc280,2021-02-26 14:13:23 +1100,manifests/restart.yaml,['2021-02-26 14:13:23: Run 154'],5396160
