,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output132,4.454,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart132,1.353,Andrew Kiss,2021-03-01T14:07:04,18294631,0,[],normalbw,90.83,0.28833333333333333,90.64387295081967,0.28774248633879784,,,,205.95999999996275,252,216,24,0.141,141.158159,196.58,152.51,"[16, 15]",cartesian,15,300,5400,80,1,ed43bc20b4ed185c4b81fb667a9392bf7551145c,2021-03-01 13:50:02 +1100,,,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output133,4.447,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart133,1.354,Andrew Kiss,2021-03-01T14:43:50,18295055,0,[],normalbw,93.8,0.29777777777777775,93.86424657534246,0.29798173515981735,0.315,3673.7624660018137,39.139103546236605,261.820000000298,252,216,24,0.156,158.105805,199.09,169.34,"[16, 15]",cartesian,15,300,5400,80,1,da0e32c14952f6034603b6556d8b885d47d9a7f5,2021-03-01 14:26:37 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-03-01 14:26:37: Run 133'],4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output134,4.446,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart134,1.354,Andrew Kiss,2021-03-01T15:20:11,18296077,0,[],normalbw,92.58,0.29388888888888887,92.64341095890411,0.2940901826484018,0.31194444444444447,3667.54332874828,39.58774067996238,203.25999999977648,252,216,24,0.161,164.199539,191.87,174.9,"[16, 15]",cartesian,15,300,5400,80,1,ee03e97b28d0b1d4c06c92263697f013d2e8581c,2021-03-01 15:02:55 +1100,manifests/restart.yaml,['2021-03-01 15:02:54: Run 134'],4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output135,4.445,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart135,1.354,Andrew Kiss,2021-03-01T15:49:14,18297184,0,[],normalbw,92.22,0.2927777777777778,92.28316438356164,0.2929783105022831,0.1913888888888889,4571.318416523236,49.535778785426245,203.48000000044703,252,216,24,0.142,143.399732,194.92,154.45,"[16, 15]",cartesian,15,300,5400,80,1,f6eb24c672b81f50b34434d4801cb95c8d6c4bed,2021-03-01 15:32:02 +1100,manifests/restart.yaml,['2021-03-01 15:32:02: Run 135'],4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output136,4.454,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart136,1.354,Andrew Kiss,2021-03-01T16:15:36,18298073,0,[],normalbw,91.96,0.29194444444444445,91.77155737704918,0.2913461976320583,0.14750000000000002,5022.341340075853,54.7265567199786,203.48000000044703,252,216,24,0.143,143.472919,196.97,154.49,"[16, 15]",cartesian,15,300,5400,80,1,a055bac6fc53676a6b5403cea604298892b01ff1,2021-03-01 15:58:28 +1100,manifests/restart.yaml,['2021-03-01 15:58:28: Run 136'],4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output137,4.446,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart137,1.354,Andrew Kiss,2021-03-01T16:34:49,18299073,0,[],normalbw,93.36,0.29638888888888887,93.42394520547946,0.2965918949771689,0.023888888888888904,6995.927146574154,74.88366211881869,203.17999999970198,252,216,24,0.164,167.516523,185.23,178.31,"[16, 15]",cartesian,15,300,5400,80,1,d2404ebab26a9085294578c2e4162f03534d286e,2021-03-01 16:17:23 +1100,manifests/restart.yaml,['2021-03-01 16:17:23: Run 137'],4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output138,4.442,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart138,1.354,Andrew Kiss,2021-03-01T16:54:10,18299563,0,[],normalbw,93.28,0.2961111111111111,93.3438904109589,0.29631392694063924,0.026388888888888906,6941.767441860466,74.36766789233242,203.160000000149,252,216,24,0.159,161.532661,191.33,172.2,"[16, 15]",cartesian,15,300,5400,80,1,45500d3e5142786ea3a1da7833be5c32db0aa8a8,2021-03-01 16:36:34 +1100,manifests/restart.yaml,['2021-03-01 16:36:34: Run 138'],4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output139,4.445,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart139,1.354,Andrew Kiss,2021-03-01T17:13:05,18299838,0,[],normalbw,94.5,0.3,94.56472602739726,0.3002054794520548,0.015277777777777779,7193.656387665198,76.07124442554885,203.20999999996275,252,216,24,0.175,181.469911,193.41,192.48,"[16, 15]",cartesian,15,300,5400,80,1,3f2bad4ad53a7f55f7d123c0974878dc15680d75,2021-03-01 16:55:23 +1100,manifests/restart.yaml,['2021-03-01 16:55:23: Run 139'],4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output140,4.445,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart140,1.354,Andrew Kiss,2021-03-01T17:31:58,18300567,0,[],normalbw,92.14,0.2925,91.95118852459017,0.29190061475409834,0.022222222222222254,7026.3865842894975,76.41430955958178,202.94000000040978,252,216,24,0.152,153.908383,189.09,163.9,"[16, 15]",cartesian,15,300,5400,80,1,db997be5803d3d4af40bfade07c1d6ffc42d6013,2021-03-01 17:14:46 +1100,manifests/restart.yaml,['2021-03-01 17:14:46: Run 140'],4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output141,4.435,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart141,1.354,Andrew Kiss,2021-03-01T17:52:35,18301196,0,[],normalbw,92.14,0.2925,92.20310958904109,0.2927003424657534,0.05111111111111111,6435.6475343573165,69.79859532982857,212.55999999959022,252,216,24,0.158,159.967706,197.67,171.03,"[16, 15]",cartesian,15,300,5400,80,1,c99c253091c88fac748753abda98c01b2da692ac,2021-03-01 17:35:23 +1100,manifests/restart.yaml,['2021-03-01 17:35:23: Run 141'],4940640
,142,1978-01-01T00:00:00,1979-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output142,4.439,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart142,1.354,Andrew Kiss,2021-03-01T18:24:37,18301584,0,[],normalbw,95.03,0.3016666666666667,95.09508904109589,0.3018732876712329,0.23222222222222216,4271.9001040582725,44.92240500676272,203.25,252,216,24,0.153,160.33084,229.12,165.9,"[16, 15]",cartesian,15,300,5400,80,1,261010a67c8ec123053bf2343d9f6d34ac12b130,2021-03-01 18:06:52 +1100,manifests/restart.yaml,['2021-03-01 18:06:52: Run 142'],4975680
,143,1979-01-01T00:00:00,1980-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output143,4.431,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart143,1.354,Andrew Kiss,2021-03-01T18:44:12,18302432,0,[],normalbw,93.71,0.2975,93.77418493150684,0.29770376712328767,0.02888888888888891,6890.6757446808515,73.48158504084931,261.45000000018626,252,216,24,0.155,156.323697,203.37,168.14,"[16, 15]",cartesian,15,300,5400,80,1,19efbc8d33ea92f323f7517a4f12af59e1f424a6,2021-03-01 18:26:55 +1100,manifests/restart.yaml,['2021-03-01 18:26:55: Run 143'],5010720
,144,1980-01-01T00:00:00,1981-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output144,4.435,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart144,1.354,Andrew Kiss,2021-03-01T19:02:19,18302776,0,[],normalbw,92.49,0.2936111111111111,92.3004713114754,0.2930094489981785,0.00833333333333336,7351.551057957681,79.64803379117402,203.34999999962747,252,216,24,0.144,147.20384,222.14,158.77,"[16, 15]",cartesian,15,300,5400,80,1,774106084531a5e9c95a460185c968fa33b69335,2021-03-01 18:44:59 +1100,manifests/restart.yaml,['2021-03-01 18:44:59: Run 144'],5045760
,145,1981-01-01T00:00:00,1982-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output145,4.432,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart145,1.354,Andrew Kiss,2021-03-01T19:36:32,18303130,0,[],normalbw,90.3,0.2866666666666667,90.36184931506848,0.28686301369863015,0.2836111111111111,3800.253287871408,42.05594857428054,202.90000000037253,252,216,24,0.144,142.818644,192.86,153.91,"[16, 15]",cartesian,15,300,5400,80,1,20cf592ce77c2246cb51cd1c4fc0e8eeee90d89f,2021-03-01 19:19:41 +1100,manifests/restart.yaml,['2021-03-01 19:19:41: Run 145'],5080800
,146,1982-01-01T00:00:00,1983-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output146,4.441,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart146,1.354,Andrew Kiss,2021-03-01T20:11:50,18303788,0,[],normalbw,90.56,0.2875,90.62202739726028,0.28769691780821915,0.3008333333333334,3694.2322946175636,40.765279708686464,202.19000000040978,252,216,24,0.145,145.254669,195.65,156.16,"[16, 15]",cartesian,15,300,5400,80,1,d6aa58ca09dfdc1afc8d3ae87f1ce7c885a709f1,2021-03-01 19:54:51 +1100,manifests/restart.yaml,['2021-03-01 19:54:51: Run 146'],5115840
,147,1983-01-01T00:00:00,1984-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output147,4.429,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart147,1.354,Andrew Kiss,2021-03-01T20:50:23,18304951,0,[],normalbw,108.06,0.34305555555555556,108.13401369863014,0.34329052511415525,0.2994444444444444,4036.482490272374,37.32851812494508,202.51999999955297,252,216,24,0.291,349.534414,198.98,361.09,"[16, 15]",cartesian,15,300,5400,80,1,c680f97bf04341fe158227d193bf930bba17418b,2021-03-01 20:30:03 +1100,manifests/restart.yaml,['2021-03-01 20:30:03: Run 147'],5150880
,148,1984-01-01T00:00:00,1985-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output148,4.439,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart148,1.354,Andrew Kiss,2021-03-01T21:32:27,18306118,0,[],normalbw,127.14,0.4036111111111111,126.87946721311476,0.4027840391621129,0.29750000000000004,4352.177496038034,34.301669069336825,202.410000000149,252,216,24,0.394,555.78157,196.9,567.05,"[16, 15]",cartesian,15,300,5400,80,1,b72ef58cb4bde1f642c2f90b94974cd0c0282f15,2021-03-01 21:08:34 +1100,manifests/restart.yaml,['2021-03-01 21:08:34: Run 148'],5185920
,149,1985-01-01T00:00:00,1986-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output149,4.426,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart149,1.354,Andrew Kiss,2021-03-01T22:07:46,18307957,0,[],normalbw,90.3,0.2866666666666667,90.36184931506848,0.28686301369863015,0.3019444444444444,3681.8876828692783,40.74604172864462,199.20999999996275,252,216,24,0.143,142.290549,192.03,153.51,"[16, 15]",cartesian,15,300,5400,80,1,cc951b1058fedb61e68411ab7830de5feeb8941d,2021-03-01 21:50:55 +1100,manifests/restart.yaml,['2021-03-01 21:50:55: Run 149'],5220960
,150,1986-01-01T00:00:00,1987-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output150,4.432,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart150,1.354,Andrew Kiss,2021-03-01T22:27:26,18309809,0,[],normalbw,91.96,0.29194444444444445,92.02298630136985,0.29214440639269407,0.03583333333333333,6733.342372881356,73.17022239237114,261.84999999962747,252,216,24,0.141,141.156856,202.87,152.7,"[16, 15]",cartesian,15,300,5400,80,1,ffa051e099b5dd9d4a55ff16c33a182959f64010,2021-03-01 22:10:29 +1100,manifests/restart.yaml,['2021-03-01 22:10:29: Run 150'],5256000
,151,1987-01-01T00:00:00,1988-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output151,4.432,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart151,1.355,Andrew Kiss,2021-03-01T23:02:44,18310521,0,[],normalbw,156.97,0.49833333333333335,157.07751369863013,0.4986746575342466,0.09000000000000002,6403.308781869688,40.765279708686464,262.7599999997765,252,216,24,0.293,351.791391,193.79,362.78,"[16, 15]",cartesian,15,300,5400,80,1,9a5e55e317e1e30309f68e54f23443dcc4ec4d4d,2021-03-01 22:42:20 +1100,manifests/restart.yaml,['2021-03-01 22:42:20: Run 151'],5291040
,152,1988-01-01T00:00:00,1989-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output152,4.442,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart152,1.355,Andrew Kiss,2021-03-01T23:24:13,18311491,0,[],normalbw,95.64,0.3036111111111111,95.44401639344262,0.3029889571948998,0.05444444444444446,6410.625290923196,67.16634036540431,205.839999999851,252,216,24,0.187,196.226043,192.16,206.55,"[16, 15]",cartesian,15,300,5400,80,1,861ad1349a1f398f7fff79b40e403643b23f674f,2021-03-01 23:06:19 +1100,manifests/restart.yaml,['2021-03-01 23:06:19: Run 152'],5326080
,153,1989-01-01T00:00:00,1990-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicei_0.39,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicei_0.39/output153,4.431,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_albicei_0.39/restart153,1.355,Andrew Kiss,2021-03-01T23:42:59,18312434,0,[],normalbw,92.58,0.29388888888888887,92.64341095890411,0.2940901826484018,0.0188888888888889,7103.82948490231,76.67927391030014,202.79999999981374,252,216,24,0.164,166.767673,196.23,177.4,"[16, 15]",cartesian,15,300,5400,80,1,ec05c8248dbdc23db6817b0e294adcefe47bff1e,2021-03-01 23:25:40 +1100,manifests/restart.yaml,['2021-03-01 23:25:40: Run 153'],5361120
