,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicev_0.81,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicev_0.81/output132,4.454,,,Andrew Kiss,2021-03-01T14:06:57,18294634,0,[],normalbw,90.56,0.2875,90.3744262295082,0.2869108606557377,,,,205.87000000011176,252,216,24,0.142,141.899493,194.51,152.85,"[16, 15]",cartesian,15,300,5400,80,1,a63a65bc1b7819173dda3d2e2e39b4ae7b955029,2021-03-01 13:50:01 +1100,,,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicev_0.81,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicev_0.81/output133,4.447,,,Andrew Kiss,2021-03-01T14:26:43,18295046,0,[],normalbw,91.53,0.29055555555555557,91.59269178082192,0.2907545662100457,0.03888888888888886,6667.952782462057,72.8000526332192,203.28000000026077,252,216,24,0.156,157.479682,189.06,168.23,"[16, 15]",cartesian,15,300,5400,80,1,dba6326b5923edf8fff75c792c82dc295a12aa15,2021-03-01 14:09:34 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-03-01 14:09:34: Run 133'],4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicev_0.81,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicev_0.81/output134,4.447,,,Andrew Kiss,2021-03-01T15:03:21,18295702,0,[],normalbw,94.15,0.29888888888888887,94.21448630136987,0.29909360730593604,0.31166666666666665,3700.891719745223,39.28155706232846,203.25,252,216,24,0.172,178.748771,201.27,188.78,"[16, 15]",cartesian,15,300,5400,80,1,ce6a5214d53d00f8d368f121087622a5e364b950,2021-03-01 14:45:44 +1100,manifests/restart.yaml,['2021-03-01 14:45:44: Run 134'],4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicev_0.81,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicev_0.81/output135,4.445,,,Andrew Kiss,2021-03-01T15:38:45,18296548,0,[],normalbw,96.16,0.30527777777777776,96.22586301369863,0.3054868721461187,0.2847222222222222,3911.593220338983,40.6501235513173,192.54999999981374,252,216,24,0.189,199.597573,192.12,209.96,"[16, 15]",cartesian,15,300,5400,80,1,76b498676ebc57c5536dcf745e05a21929c0f65e,2021-03-01 15:20:51 +1100,manifests/restart.yaml,['2021-03-01 15:20:51: Run 135'],4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicev_0.81,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicev_0.81/output136,4.454,,,Andrew Kiss,2021-03-01T15:59:15,18297775,0,[],normalbw,92.92,0.295,92.72959016393443,0.2943954918032787,0.04666666666666669,6527.063414634145,70.38814043171232,262.23000000044703,252,216,24,0.147,146.926279,192.42,156.5,"[16, 15]",cartesian,15,300,5400,80,1,068913b4dc62eec86dd19b4aa951c7e9fa795f8e,2021-03-01 15:42:07 +1100,manifests/restart.yaml,['2021-03-01 15:42:07: Run 136'],4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicev_0.81,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicev_0.81/output137,4.446,,,Andrew Kiss,2021-03-01T16:17:33,18298430,0,[],normalbw,92.22,0.2927777777777778,92.28316438356164,0.2929783105022831,0.01222222222222219,7256.655737704918,78.63466523041707,203.34999999962747,252,216,24,0.146,145.982882,190.05,154.28,"[16, 15]",cartesian,15,300,5400,80,1,88aab9d6e73d4c2b45ec997c255bdc62e4e9c6d3,2021-03-01 16:00:22 +1100,manifests/restart.yaml,['2021-03-01 16:00:22: Run 137'],4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicev_0.81,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicev_0.81/output138,4.442,,,Andrew Kiss,2021-03-01T16:44:11,18299122,0,[],normalbw,92.49,0.2936111111111111,92.55334931506849,0.2938122146118721,0.1502777777777778,5000.7108886107635,54.03057723591862,207.82000000029802,252,216,24,0.14,141.046307,204.81,153.45,"[16, 15]",cartesian,15,300,5400,80,1,f3878a67de9199a284271db0e94378b797e62df9,2021-03-01 16:26:47 +1100,manifests/restart.yaml,['2021-03-01 16:26:47: Run 138'],4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicev_0.81,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicev_0.81/output139,4.445,,,Andrew Kiss,2021-03-01T17:11:25,18299702,0,[],normalbw,94.59,0.30027777777777775,94.65478767123288,0.30048344748858447,0.15361111111111114,5001.576499388006,52.8401850813941,203.1699999999255,252,216,24,0.176,182.416971,189.82,192.82,"[16, 15]",cartesian,15,300,5400,80,1,913b7255b1ab2419647acd42bfffcdc4fa759a4e,2021-03-01 16:53:44 +1100,manifests/restart.yaml,['2021-03-01 16:53:44: Run 139'],4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicev_0.81,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicev_0.81/output140,4.446,,,Andrew Kiss,2021-03-01T17:29:51,18300541,0,[],normalbw,93.62,0.2972222222222222,93.42815573770493,0.29661316029143897,0.010000000000000009,7313.533453887885,78.27975834629851,203.5800000000745,252,216,24,0.165,169.695809,193.5,180.53,"[16, 15]",cartesian,15,300,5400,80,1,21a9c0d2bab975af5aca9a0b706bebe2783eface,2021-03-01 17:12:23 +1100,manifests/restart.yaml,['2021-03-01 17:12:23: Run 140'],4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_albicev_0.81,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicev_0.81/output141,4.435,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_albicev_0.81/restart141,1.354,Andrew Kiss,2021-03-01T17:50:00,18301139,0,[],normalbw,100.97,0.32055555555555554,101.03915753424657,0.3207751141552511,0.015277777777777779,7215.722084367246,71.41510539536637,261.59999999962747,252,216,24,0.224,244.923942,196.07,256.11,"[16, 15]",cartesian,15,300,5400,80,1,6f882c48da87b78c636d2f7dc649cf38fa018dc5,2021-03-01 17:31:23 +1100,manifests/restart.yaml,['2021-03-01 17:31:23: Run 141'],4940640
