,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_chio_0.006,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_chio_0.006/output132,4.455,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_chio_0.006/restart132,1.353,Andrew Kiss,2021-03-09T17:34:09,18807474,0,[],normalbw,93.01,0.29527777777777775,92.81940573770493,0.2946727003642987,,,,265.5800000000745,252,216,24,0.14,140.328383,204.78,151.9,"[16, 15]",cartesian,15,300,5400,80,1,db9661c1ed8e5f76d30e8bc7e1876c349b4c99d8,2021-03-09 17:16:51 +1100,,,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_chio_0.006,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_chio_0.006/output133,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_chio_0.006/restart133,1.354,Andrew Kiss,2021-03-09T17:53:43,18808565,0,[],normalbw,92.05,0.2922222222222222,92.11304794520548,0.29242237442922375,0.03388888888888891,6774.378194207837,73.5441758287887,202.29999999981374,252,216,24,0.164,167.249003,198.63,178.58,"[16, 15]",cartesian,15,300,5400,80,1,33044528b6ca17030f7da8957742c9d3c9365d53,2021-03-09 17:36:25 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-03-09 17:36:25: Run 133'],4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_chio_0.006,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_chio_0.006/output134,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_chio_0.006/restart134,1.354,Andrew Kiss,2021-03-09T18:14:43,18809461,0,[],normalbw,89.86,0.2852777777777778,89.92154794520548,0.2854731735159817,0.06472222222222218,6161.828571428571,68.52449398650631,203.29999999981374,252,216,24,0.144,142.890262,189.43,153.31,"[16, 15]",cartesian,15,300,5400,80,1,13dd9e9a768a7c219e017659090d296d92ca58a0,2021-03-09 17:57:54 +1100,manifests/restart.yaml,['2021-03-09 17:57:54: Run 134'],4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_chio_0.006,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_chio_0.006/output135,4.447,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_chio_0.006/restart135,1.354,Andrew Kiss,2021-03-09T18:37:14,18809924,0,[],normalbw,99.05,0.31444444444444447,99.11784246575343,0.3146598173515982,0.060833333333333295,6334.507772020725,63.90885449518723,202.95999999996275,252,216,24,0.204,219.315702,192.43,230.05,"[16, 15]",cartesian,15,300,5400,80,1,dc7fcb88c5b9fc49b73696b1adcb52d8ed795834,2021-03-09 18:18:48 +1100,manifests/restart.yaml,['2021-03-09 18:18:48: Run 135'],4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_chio_0.006,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_chio_0.006/output136,4.456,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_chio_0.006/restart136,1.354,Andrew Kiss,2021-03-09T18:58:26,18810703,0,[],normalbw,92.66,0.2941666666666667,92.47012295081967,0.2935638661202186,0.059166666666666645,6293.8867924528295,68.06400371934447,203.62999999988824,252,216,24,0.152,152.914174,194.32,163.73,"[16, 15]",cartesian,15,300,5400,80,1,7b2f5700eec2c589ee572a4fcf67f2e2778de03e,2021-03-09 18:41:23 +1100,manifests/restart.yaml,['2021-03-09 18:41:23: Run 136'],4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_chio_0.006,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_chio_0.006/output137,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_chio_0.006/restart137,1.354,Andrew Kiss,2021-03-09T19:18:13,18811554,0,[],normalbw,90.65,0.2877777777777778,90.7120890410959,0.2879748858447489,0.04194444444444445,6598.281381634372,72.73872150210441,202.28000000026077,252,216,24,0.147,147.341106,193.18,158.19,"[16, 15]",cartesian,15,300,5400,80,1,d26aafba57dc05a7788a688ca17c40fbc74b3f44,2021-03-09 19:01:12 +1100,manifests/restart.yaml,['2021-03-09 19:01:12: Run 137'],4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_chio_0.006,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_chio_0.006/output138,4.445,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_chio_0.006/restart138,1.354,Andrew Kiss,2021-03-09T19:38:24,18811978,0,[],normalbw,95.11,0.30194444444444446,95.17514383561644,0.3021512557077626,0.034444444444444444,6785.717588769612,71.29716137324355,216.94000000040978,252,216,24,0.164,171.254216,212.73,182.59,"[16, 15]",cartesian,15,300,5400,80,1,6ae75738d67234f1d7a0dfb37b98e1e8fec0b4bb,2021-03-09 19:20:34 +1100,manifests/restart.yaml,['2021-03-09 19:20:34: Run 138'],4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_chio_0.006,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_chio_0.006/output139,4.447,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_chio_0.006/restart139,1.354,Andrew Kiss,2021-03-09T19:58:40,18812708,0,[],normalbw,93.28,0.2961111111111111,93.3438904109589,0.29631392694063924,0.041666666666666685,6627.78947368421,71.00399870312332,214.61000000033528,252,216,24,0.139,139.694172,200.29,150.55,"[16, 15]",cartesian,15,300,5400,80,1,3af49dea72d4c826df7a832ce47d62400e0345f6,2021-03-09 19:41:35 +1100,manifests/restart.yaml,['2021-03-09 19:41:35: Run 139'],4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_chio_0.006,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_chio_0.006/output140,4.448,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_chio_0.006/restart140,1.354,Andrew Kiss,2021-03-09T20:16:51,18813385,0,[],normalbw,90.04,0.28583333333333333,89.8554918032787,0.2852476092896175,0.01722222222222225,7130.573785517873,79.35601533547768,202.87000000011176,252,216,24,0.144,143.381431,184.8,153.86,"[16, 15]",cartesian,15,300,5400,80,1,fd775c2a793d00056f1c7ff16541a14abaf92e55,2021-03-09 20:00:00 +1100,manifests/restart.yaml,['2021-03-09 20:00:00: Run 140'],4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_chio_0.006,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_chio_0.006/output141,4.437,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_chio_0.006/restart141,1.354,Andrew Kiss,2021-03-09T20:34:56,18814244,0,[],normalbw,91.26,0.2897222222222222,91.32250684931508,0.2899206621004566,0.011666666666666659,7267.155760368665,79.5768317262654,203.20999999996275,252,216,24,0.146,145.885514,196.86,157.23,"[16, 15]",cartesian,15,300,5400,80,1,ebf48fd99a6155e9f12178bdf9bb26ca5348ac59,2021-03-09 20:17:52 +1100,manifests/restart.yaml,['2021-03-09 20:17:52: Run 141'],4940640
