,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output132,4.448,,,Andrew Kiss,2022-01-17T09:05:24,33883961,0,[],normalbw,93.45,0.2966666666666667,93.25850409836066,0.29605874316939895,,,,253.29000000003725,252,216,24,0.145,147.526752,209.61,159.47,"[16, 15]",cartesian,15,300,5400,80,1,161bb81726f19d5d703ba4961373fe63a1ed7d1f,2022-01-17 08:48:06 +1100,,,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output133,4.443,,,Andrew Kiss,2022-01-17T09:23:25,33884310,0,[],normalbw,93.62,0.2972222222222222,93.68412328767124,0.297425799086758,0.0030555555555555336,7482.671600370029,79.8712880878797,263.54000000003725,252,216,24,0.151,151.623983,195.68,162.51,"[16, 15]",cartesian,15,300,5400,80,1,34d6dd4b3ab97b62dde9c65517dff9f2737d5278,2022-01-17 09:06:13 +1100,"manifests/input.yaml, manifests/restart.yaml",['2022-01-17 09:06:13: Run 133'],4660320
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output135,4.441,,,Andrew Kiss,2022-01-17T09:59:15,33885512,1,[33884708],normalbw,93.19,0.29583333333333334,93.25382876712328,0.2960359589041096,0.3013888888888889,3744.9376744186047,40.15854066185951,246.03000000026077,252,216,24,0.138,139.247488,195.8,150.8,"[16, 15]",cartesian,15,300,5400,80,1,52ee8f2ac63d75b6bcda5a8fdaf9f8201d3eae30,2022-01-17 09:42:00 +1100,manifests/restart.yaml,"['2022-01-17 09:24:00: Run 134', '2022-01-17 09:42:00: Run 135']",4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output136,4.452,,,Andrew Kiss,2022-01-17T10:17:02,33886295,0,[],normalbw,92.75,0.29444444444444445,92.55993852459017,0.29384107468123866,0.0019444444444444153,7510.402999062793,81.14096788285488,256.1399999996647,252,216,24,0.142,143.142431,191.26,154.14,"[16, 15]",cartesian,15,300,5400,80,1,271427163d301452b9fe7a4be35afe65e90b9ad8,2022-01-17 09:59:53 +1100,manifests/restart.yaml,['2022-01-17 09:59:53: Run 136'],4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output137,4.442,,,Andrew Kiss,2022-01-17T10:35:02,33886926,0,[],normalbw,93.45,0.2966666666666667,93.51400684931507,0.29686986301369866,0.0033333333333332993,7476.0,79.94524298425736,202.95000000018626,252,216,24,0.143,145.031878,197.42,156.43,"[16, 15]",cartesian,15,300,5400,80,1,3bfee36120fce6e93b1fad9b753548741ab97214,2022-01-17 10:17:27 +1100,manifests/restart.yaml,['2022-01-17 10:17:27: Run 137'],4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output138,4.439,,,Andrew Kiss,2022-01-17T10:53:01,33887581,0,[],normalbw,93.8,0.29777777777777775,93.86424657534246,0.29798173515981735,0.0019444444444444708,7510.954587581093,80.01933496107317,249.03000000026077,252,216,24,0.136,138.513767,205.67,150.55,"[16, 15]",cartesian,15,300,5400,80,1,52f7563cd132ce3b88e47b0a7856aa7d10517105,2022-01-17 10:35:40 +1100,manifests/restart.yaml,['2022-01-17 10:35:40: Run 138'],4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output139,4.441,,,Andrew Kiss,2022-01-17T11:11:07,33888420,0,[],normalbw,94.06,0.2986111111111111,94.12442465753425,0.2988156392694064,0.003055555555555589,7483.226519337017,79.50355655892997,252.54999999981374,252,216,24,0.14,141.46432,195.16,152.61,"[16, 15]",cartesian,15,300,5400,80,1,77b92040ba23f280766a1633fc36896294774b7d,2022-01-17 10:53:39 +1100,manifests/restart.yaml,['2022-01-17 10:53:39: Run 139'],4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output140,4.442,,,Andrew Kiss,2022-01-17T11:29:00,33888970,0,[],normalbw,93.8,0.29777777777777775,93.6077868852459,0.29716757741347904,0.0002777777777778212,7552.954333643988,80.68724392451645,254.63999999966472,252,216,24,0.142,143.90397,191.73,154.81,"[16, 15]",cartesian,15,300,5400,80,1,5ad495fbd9122177cb43a0fb0cd9bbc7eeb27c7c,2022-01-17 11:11:46 +1100,manifests/restart.yaml,['2022-01-17 11:11:46: Run 140'],4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output141,4.432,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/restart141,1.025,Andrew Kiss,2022-01-17T11:47:00,33889494,0,[],normalbw,93.89,0.2980555555555556,93.95430821917809,0.29825970319634704,0.0019444444444444153,7511.200000000001,79.94524298425736,235.660000000149,252,216,24,0.14,142.645612,212.5,154.91,"[16, 15]",cartesian,15,300,5400,80,1,a206bde37f5f709324ef2c8b562053b1b4484083,2022-01-17 11:29:36 +1100,manifests/restart.yaml,['2022-01-17 11:29:36: Run 141'],4940640
,143,1979-01-01T00:00:00,1980-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output143,4.428,,,Andrew Kiss,2022-01-17T12:23:45,33891570,1,[33890274],normalbw,93.28,0.2961111111111111,93.3438904109589,0.29631392694063924,0.31638888888888894,3655.0530612244893,39.156853706575035,237.839999999851,252,216,24,0.141,142.771931,206.78,155.02,"[16, 15]",cartesian,15,300,5400,80,1,4a976313d8d118d20a1541ceb43dfedfb2495e17,2022-01-17 12:06:30 +1100,manifests/restart.yaml,"['2022-01-17 11:47:36: Run 142', '2022-01-17 12:06:30: Run 143']",5010720
,144,1980-01-01T00:00:00,1981-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output144,4.432,,,Andrew Kiss,2022-01-17T12:41:49,33892413,0,[],normalbw,93.89,0.2980555555555556,93.6976024590164,0.29744478597449914,0.0030555555555555336,7483.483394833947,79.86846192897247,257.429999999702,252,216,24,0.141,144.145088,213.23,156.04,"[16, 15]",cartesian,15,300,5400,80,1,3ad82ae1ad08a7fd2739369d6d23f9b2d310033e,2022-01-17 12:24:25 +1100,manifests/restart.yaml,['2022-01-17 12:24:25: Run 144'],5045760
,145,1981-01-01T00:00:00,1982-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output145,4.429,,,Andrew Kiss,2022-01-17T12:59:20,33893279,0,[],normalbw,91.61,0.29083333333333333,91.67274657534246,0.2910325342465753,0.0011111111111111183,7531.021883920075,82.15115358991241,219.84999999962747,252,216,24,0.14,140.323467,195.99,152.21,"[16, 15]",cartesian,15,300,5400,80,1,24d5b9fbebd5d422ed594653c1e16c8fbb292691,2022-01-17 12:42:11 +1100,manifests/restart.yaml,['2022-01-17 12:42:11: Run 145'],5080800
,147,1983-01-01T00:00:00,1984-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_dragio_0.008,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_dragio_0.008/output147,4.426,,,Andrew Kiss,2022-01-17T13:35:15,33894468,1,[33893813],normalbw,94.33,0.29944444444444446,94.3946095890411,0.29964954337899546,0.29916666666666664,3781.9545243619486,40.06536539350253,237.62000000011176,252,216,24,0.145,148.441135,207.35,160.44,"[16, 15]",cartesian,15,300,5400,80,1,ae68257c80814e711629fc8f8b7bed92c7d7fd20,2022-01-17 13:17:51 +1100,manifests/restart.yaml,"['2022-01-17 12:59:41: Run 146', '2022-01-17 13:17:50: Run 147']",5150880
