,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output132,4.452,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart132,1.353,Andrew Kiss,2021-04-08T15:46:46,20468049,0,[],normalbw,100.1,0.31777777777777777,99.89487704918032,0.31712659380692165,,,,265.1699999999255,252,216,24,0.182,190.882033,200.06,173.8,"[16, 15]",cartesian,15,300,5400,80,1,c1c4abf08a1de05ca6bb1802b7a1e98fc492e87d,2021-04-08 15:28:56 +1000,,,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output133,4.445,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart133,1.354,Andrew Kiss,2021-04-08T16:07:13,20471175,0,[],normalbw,97.21,0.3086111111111111,97.27658219178082,0.30882248858447486,0.03222222222222221,6845.105134474327,70.36745103748814,263.09999999962747,252,216,24,0.192,203.095725,199.45,213.02,"[16, 15]",cartesian,15,300,5400,80,1,d391eb8707075b3e5600f7566b5383058b154a03,2021-04-08 15:49:17 +1000,"manifests/input.yaml, manifests/restart.yaml",['2021-04-08 15:49:17: Run 133'],4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output134,4.444,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart134,1.354,Andrew Kiss,2021-04-08T16:30:59,20477148,0,[],normalbw,105.09,0.33361111111111114,105.1619794520548,0.3338396118721461,0.0625,6367.304347826086,60.547589356941046,262.45000000018626,252,216,24,0.204,219.621695,195.68,230.53,"[16, 15]",cartesian,15,300,5400,80,1,4b5fffae0e85d05c3dd9e9d1cc9f5916f3db0da5,2021-04-08 16:11:29 +1000,manifests/restart.yaml,['2021-04-08 16:11:29: Run 134'],4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output135,4.442,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart135,1.354,Andrew Kiss,2021-04-08T16:59:01,20477848,0,[],normalbw,105.26,0.33416666666666667,105.33209589041097,0.3343955479452055,0.13305555555555554,5406.934601664685,51.33226065576573,261.87999999988824,252,216,24,0.19,198.763556,183.65,208.78,"[16, 15]",cartesian,15,300,5400,80,1,73a3f76b8228f54d33faf7af429491bcf6536dd8,2021-04-08 16:39:29 +1000,manifests/restart.yaml,['2021-04-08 16:39:29: Run 135'],4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output136,4.452,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart136,1.354,Andrew Kiss,2021-04-08T17:21:51,20478389,0,[],normalbw,105.09,0.33361111111111114,104.87465163934426,0.33292748178506376,0.0469444444444444,6627.573722627738,63.19519177445706,262.3300000000745,252,216,24,0.222,243.994272,198.36,254.19,"[16, 15]",cartesian,15,300,5400,80,1,98305c6c165a79b5ce061b1b97bb9a303c0b7c76,2021-04-08 17:02:41 +1000,manifests/restart.yaml,['2021-04-08 17:02:41: Run 136'],4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output137,4.444,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart137,1.354,Andrew Kiss,2021-04-08T17:51:52,20478978,0,[],normalbw,93.1,0.29555555555555557,93.16376712328767,0.2957579908675799,0.20472222222222225,4466.318711826762,47.9405121726807,203.82000000029802,252,216,24,0.162,166.649663,183.9,176.73,"[16, 15]",cartesian,15,300,5400,80,1,1f6e7ae3e7555db555c69a73369975c0eabfe677,2021-04-08 17:34:26 +1000,manifests/restart.yaml,['2021-04-08 17:34:26: Run 137'],4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output138,4.44,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart138,1.354,Andrew Kiss,2021-04-08T18:10:58,20480069,0,[],normalbw,90.91,0.2886111111111111,90.97226712328766,0.2888087899543379,0.02972222222222226,6853.947643979057,75.34106668673468,203.59999999962747,252,216,24,0.149,149.590182,196.77,159.77,"[16, 15]",cartesian,15,300,5400,80,1,e439dfc6be46349dbc2ca1acddc6fc37cab1f3a0,2021-04-08 17:53:55 +1000,manifests/restart.yaml,['2021-04-08 17:53:55: Run 138'],4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output139,4.443,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart139,1.354,Andrew Kiss,2021-04-08T18:31:53,20480833,0,[],normalbw,94.5,0.3,94.56472602739726,0.3002054794520548,0.048611111111111105,6505.81673306773,68.79749993864378,262.0,252,216,24,0.147,147.709846,196.86,158.16,"[16, 15]",cartesian,15,300,5400,80,1,6e810b80fb8eb70df0f5ac3caef3ff44a6fdf2f9,2021-04-08 18:14:51 +1000,manifests/restart.yaml,['2021-04-08 18:14:51: Run 139'],4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output140,4.444,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart140,1.354,Andrew Kiss,2021-04-08T18:52:12,20481552,0,[],normalbw,93.45,0.2966666666666667,93.25850409836066,0.29605874316939895,0.041944444444444395,6623.527481542249,71.02330822888118,203.55999999959022,252,216,24,0.169,174.97071,191.98,184.99,"[16, 15]",cartesian,15,300,5400,80,1,57e9af6f6b70f27c7c004035540926fb96a0b68b,2021-04-08 18:34:40 +1000,manifests/restart.yaml,['2021-04-08 18:34:40: Run 140'],4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output141,4.433,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart141,1.354,Andrew Kiss,2021-04-08T19:13:18,20482171,0,[],normalbw,101.94,0.3236111111111111,102.00982191780821,0.32383276255707766,0.028055555555555556,6957.042654028435,68.19973335149916,255.76999999955297,252,216,24,0.158,170.224693,216.07,180.29,"[16, 15]",cartesian,15,300,5400,80,1,df180f03fd6a3ac7f55061bcf40e0619e88a1219,2021-04-08 18:55:03 +1000,manifests/restart.yaml,['2021-04-08 18:55:03: Run 141'],4940640
,142,1978-01-01T00:00:00,1979-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output142,4.437,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart142,1.354,Andrew Kiss,2021-04-08T19:33:29,20482818,0,[],normalbw,90.74,0.28805555555555556,90.8021506849315,0.2882528538812785,0.04833333333333334,6473.935590421139,71.29716137324355,202.28000000026077,252,216,24,0.146,146.822902,206.65,157.36,"[16, 15]",cartesian,15,300,5400,80,1,dd2bbfbf4886410dab390efd05556a6567a32cdd,2021-04-08 19:16:25 +1000,manifests/restart.yaml,['2021-04-08 19:16:25: Run 142'],4975680
,143,1979-01-01T00:00:00,1980-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output143,4.43,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart143,1.354,Andrew Kiss,2021-04-08T19:54:33,20483523,0,[],normalbw,95.55,0.30333333333333334,95.61544520547945,0.30354109589041095,0.04777777777777775,6531.26582278481,68.30764432199206,261.73000000044703,252,216,24,0.163,165.055224,197.8,176.24,"[16, 15]",cartesian,15,300,5400,80,1,e53efd2b98bd33ede70f807b1326e69c5d0c5583,2021-04-08 19:37:17 +1000,manifests/restart.yaml,['2021-04-08 19:37:17: Run 143'],5010720
,144,1980-01-01T00:00:00,1981-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/output144,4.433,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_j09_bgmax_1e-05/restart144,1.354,Andrew Kiss,2021-04-08T20:15:26,20485338,0,[],normalbw,97.65,0.31,97.44989754098361,0.3093647540983607,0.038055555555555565,6733.407821229051,69.09609954589479,202.49000000022352,252,216,24,0.214,232.504124,199.22,243.98,"[16, 15]",cartesian,15,300,5400,80,1,2849c856871a3a9e4982e4b0a28702600dc82bb5,2021-04-08 19:57:02 +1000,manifests/restart.yaml,['2021-04-08 19:57:02: Run 144'],5045760
