,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_mu_rdg_4,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_mu_rdg_4/output132,4.458,,,Andrew Kiss,2021-03-01T14:25:50,18294645,0,[],normalbw,92.84,0.2947222222222222,92.64975409836066,0.29411828324225864,,,,191.32000000029802,252,216,24,0.165,170.364309,201.41,180.63,"[16, 15]",cartesian,15,300,5400,80,1,ee0abacd6c8186363e7334d11e3bd84ab12d9a95,2021-03-01 14:08:23 +1100,,,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_mu_rdg_4,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_mu_rdg_4/output133,4.457,,,Andrew Kiss,2021-03-01T15:02:16,18295677,0,[],normalbw,92.22,0.2927777777777778,92.28316438356164,0.2929783105022831,0.3144444444444444,3644.9258920402563,39.497192325250666,192.50999999977648,252,216,24,0.16,162.291292,194.86,172.82,"[16, 15]",cartesian,15,300,5400,80,1,6fc4e9031159b0cff38741d5c99eab2b16547fbc,2021-03-01 14:44:59 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-03-01 14:44:58: Run 133'],4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_mu_rdg_4,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_mu_rdg_4/output134,4.459,,,Andrew Kiss,2021-03-01T15:38:27,18296525,0,[],normalbw,94.5,0.3,94.56472602739726,0.3002054794520548,0.3030555555555556,3760.847535697835,39.77008863334774,203.44000000040978,252,216,24,0.177,183.500252,191.46,194.11,"[16, 15]",cartesian,15,300,5400,80,1,05b8eecc0a9ba6896af4138b54d8f6ce76fd93a5,2021-03-01 15:20:48 +1100,manifests/restart.yaml,['2021-03-01 15:20:48: Run 134'],4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_mu_rdg_4,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_mu_rdg_4/output135,4.459,,,Andrew Kiss,2021-03-01T15:58:52,18297770,0,[],normalbw,91.09,0.2891666666666667,91.1523904109589,0.28936472602739727,0.05111111111111111,6424.633469387754,70.48233667183506,203.46999999973923,252,216,24,0.143,142.635162,186.71,153.43,"[16, 15]",cartesian,15,300,5400,80,1,d4e3f885686e88e414eb0a11c98f216a4229b195,2021-03-01 15:41:54 +1100,manifests/restart.yaml,['2021-03-01 15:41:53: Run 135'],4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_mu_rdg_4,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_mu_rdg_4/output136,4.467,,,Andrew Kiss,2021-03-01T16:17:29,18298425,0,[],normalbw,92.05,0.2922222222222222,91.86137295081967,0.2916234061930783,0.018055555555555547,7120.071620411818,77.5088744234612,203.660000000149,252,216,24,0.143,142.699859,193.95,152.38,"[16, 15]",cartesian,15,300,5400,80,1,12a8f39cdcf36a7417a5afdc5347503a9fc5a9bd,2021-03-01 16:00:23 +1100,manifests/restart.yaml,['2021-03-01 16:00:23: Run 136'],4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_mu_rdg_4,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_mu_rdg_4/output137,4.459,,,Andrew Kiss,2021-03-01T16:39:09,18299121,0,[],normalbw,93.71,0.2975,93.77418493150684,0.29770376712328767,0.06361111111111112,6228.110769230769,66.41604801769073,202.79999999981374,252,216,24,0.154,156.952571,197.19,167.65,"[16, 15]",cartesian,15,300,5400,80,1,fb608d3842ddc0f7e5a3f47eb1899d705520490b,2021-03-01 16:21:44 +1100,manifests/restart.yaml,['2021-03-01 16:21:44: Run 137'],4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_mu_rdg_4,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_mu_rdg_4/output138,4.455,,,Andrew Kiss,2021-03-01T17:11:37,18299629,0,[],normalbw,95.72,0.3038888888888889,95.78556164383562,0.3040970319634703,0.23722222222222222,4245.4866529774135,44.32282465246301,203.160000000149,252,216,24,0.178,185.377981,196.24,196.14,"[16, 15]",cartesian,15,300,5400,80,1,0002de56947baf15240ef60ff7535bb7f6448bcd,2021-03-01 16:53:48 +1100,manifests/restart.yaml,['2021-03-01 16:53:48: Run 138'],4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_mu_rdg_4,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_mu_rdg_4/output139,4.459,,,Andrew Kiss,2021-03-01T17:30:20,18300545,0,[],normalbw,91.7,0.2911111111111111,91.76280821917808,0.291310502283105,0.02083333333333337,7055.102404274265,76.88411613802133,224.53000000026077,252,216,24,0.14,139.209601,190.9,149.94,"[16, 15]",cartesian,15,300,5400,80,1,2785fb54ce9fc6d5f4d86e7d4e564a3fc4819f54,2021-03-01 17:13:20 +1100,manifests/restart.yaml,['2021-03-01 17:13:20: Run 139'],4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_mu_rdg_4,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_mu_rdg_4/output140,4.459,,,Andrew Kiss,2021-03-01T17:50:20,18301162,0,[],normalbw,94.41,0.2997222222222222,94.2165368852459,0.2991080373406193,0.03361111111111109,6797.52,72.14784394250513,192.69000000040978,252,216,24,0.179,185.58572,187.87,196.26,"[16, 15]",cartesian,15,300,5400,80,1,ff44cf9ba4b6a25b5ca403263cef1525f556b76b,2021-03-01 17:32:42 +1100,manifests/restart.yaml,['2021-03-01 17:32:42: Run 140'],4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_mu_rdg_4,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_mu_rdg_4/output141,4.45,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_mu_rdg_4/restart141,1.354,Andrew Kiss,2021-03-01T18:08:24,18301556,0,[],normalbw,91.7,0.2911111111111111,91.76280821917808,0.291310502283105,0.010000000000000009,7308.929889298894,79.65024208763649,192.44000000040978,252,216,24,0.153,153.502698,195.82,164.57,"[16, 15]",cartesian,15,300,5400,80,1,2f766516dcaaef82026c5bd445d6d31e78da3c44,2021-03-01 17:51:15 +1100,manifests/restart.yaml,['2021-03-01 17:51:15: Run 141'],4940640
