,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_ndte_240,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_ndte_240/output132,4.471,,,Andrew Kiss,2021-03-09T15:50:48,18804093,0,[],normalbw,96.69,0.30694444444444446,96.49186475409836,0.30631545992714027,,,,265.29000000003725,252,216,24,0.178,186.989951,65.29,187.35,"[16, 15]",cartesian,15,300,5400,80,1,8c85eb66f39a7b9175c6f5be09957947f7d884ef,2021-03-09 15:32:58 +1100,,,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_ndte_240,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_ndte_240/output133,4.467,,,Andrew Kiss,2021-03-09T16:11:59,18805096,0,[],normalbw,95.03,0.3016666666666667,95.09508904109589,0.3018732876712329,0.05138888888888887,6459.946498819827,67.93144171754362,229.98000000044703,252,216,24,0.153,154.872533,58.49,153.06,"[16, 15]",cartesian,15,300,5400,80,1,335f5a28989abe7f370ba10d446776e603f0257a,2021-03-09 15:54:18 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-03-09 15:54:18: Run 133'],4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_ndte_240,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_ndte_240/output134,4.469,,,Andrew Kiss,2021-03-09T16:33:50,18805688,0,[],normalbw,98.17,0.31166666666666665,98.2372397260274,0.31188013698630135,0.05250000000000005,6469.784897025172,65.85878140579553,203.24000000022352,252,216,24,0.202,217.668986,60.25,215.75,"[16, 15]",cartesian,15,300,5400,80,1,96d6857f87c4aec9f3fbbac753daf72e73f83cae,2021-03-09 16:15:27 +1100,manifests/restart.yaml,['2021-03-09 16:15:26: Run 134'],4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_ndte_240,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_ndte_240/output135,4.469,,,Andrew Kiss,2021-03-09T16:54:35,18806718,0,[],normalbw,95.11,0.30194444444444446,95.17514383561644,0.3021512557077626,0.043888888888888866,6600.404819277108,69.35009029959676,203.28000000026077,252,216,24,0.174,180.274618,56.45,177.64,"[16, 15]",cartesian,15,300,5400,80,1,934e772157464fb8b7951940455468842add7f3a,2021-03-09 16:36:44 +1100,manifests/restart.yaml,['2021-03-09 16:36:44: Run 135'],4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_ndte_240,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_ndte_240/output136,4.478,,,Andrew Kiss,2021-03-09T17:16:08,18807383,0,[],normalbw,96.08,0.305,95.88311475409836,0.304375,0.054166666666666696,6420.194895591647,66.95855586311382,262.21999999973923,252,216,24,0.156,162.274795,59.89,161.96,"[16, 15]",cartesian,15,300,5400,80,1,b8f55af33df557245437c2c825cd3725db174a1b,2021-03-09 16:58:23 +1100,manifests/restart.yaml,['2021-03-09 16:58:22: Run 136'],4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_ndte_240,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_ndte_240/output137,4.468,,,Andrew Kiss,2021-03-09T17:34:08,18807476,0,[],normalbw,92.92,0.295,92.98364383561643,0.29520205479452055,0.0050000000000000044,7433.6,79.94524298425736,261.3099999995902,252,216,24,0.152,153.427778,54.61,150.36,"[16, 15]",cartesian,15,300,5400,80,1,e1d196c3f9f82234107bc0f4bccba2ff05ce6bd2,2021-03-09 17:16:51 +1100,manifests/restart.yaml,['2021-03-09 17:16:51: Run 137'],4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_ndte_240,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_ndte_240/output138,4.465,,,Andrew Kiss,2021-03-09T17:54:00,18808566,1,[18808101],normalbw,93.45,0.2966666666666667,93.51400684931507,0.29686986301369866,0.034444444444444444,6773.557046979866,72.43360941526673,202.25,252,216,24,0.178,184.801622,55.73,180.48,"[16, 15]",cartesian,15,300,5400,80,1,d831f69fb16f7d4bac6d5903f77e2b2e218752b3,2021-03-09 17:36:26 +1100,manifests/restart.yaml,['2021-03-09 17:36:26: Run 138'],4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_ndte_240,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_ndte_240/output139,4.468,,,Andrew Kiss,2021-03-09T18:15:14,18809480,0,[],normalbw,92.58,0.29388888888888887,92.64341095890411,0.2940901826484018,0.06,6278.580847723705,67.77147756907218,203.20999999996275,252,216,24,0.151,155.209798,70.31,154.22,"[16, 15]",cartesian,15,300,5400,80,1,d62864ad3f527e6dce992f1cb81a6b64c7d23ae9,2021-03-09 17:57:55 +1100,manifests/restart.yaml,['2021-03-09 17:57:55: Run 139'],4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_ndte_240,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_ndte_240/output140,4.469,,,Andrew Kiss,2021-03-09T18:36:29,18809939,0,[],normalbw,95.38,0.30277777777777776,95.18454918032786,0.3021573315118397,0.05138888888888893,6463.397647058822,67.90385312235776,203.62999999988824,252,216,24,0.178,184.402443,55.35,181.39,"[16, 15]",cartesian,15,300,5400,80,1,e69a60fc0abdf846df1f8252a11156d578f422d4,2021-03-09 18:18:50 +1100,manifests/restart.yaml,['2021-03-09 18:18:50: Run 140'],4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_ndte_240,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_ndte_240/output141,4.46,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_ndte_240/restart141,1.354,Andrew Kiss,2021-03-09T18:56:17,18810694,0,[],normalbw,95.55,0.30333333333333334,95.61544520547945,0.30354109589041095,0.026666666666666672,6949.090909090908,72.67749362205214,263.28000000026077,252,216,24,0.169,175.136738,69.53,176.75,"[16, 15]",cartesian,15,300,5400,80,1,8b573bc395003694cf10f4ed1e1f354514769d53,2021-03-09 18:38:43 +1100,manifests/restart.yaml,['2021-03-09 18:38:43: Run 141'],4940640
