,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_snowpatch_0.005,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_snowpatch_0.005/output132,4.472,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_snowpatch_0.005/restart132,1.353,Andrew Kiss,2021-03-09T15:50:19,18804091,0,[],normalbw,93.89,0.2980555555555556,93.6976024590164,0.29744478597449914,,,,265.4400000004098,252,216,24,0.145,145.901467,195.16,156.92,"[16, 15]",cartesian,15,300,5400,80,1,3ea64768be4fbff2b4d785c0ae723a8c29303a8e,2021-03-09 15:32:55 +1100,,,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_snowpatch_0.005,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_snowpatch_0.005/output133,4.469,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_snowpatch_0.005/restart133,1.354,Andrew Kiss,2021-03-09T16:11:58,18805066,0,[],normalbw,93.8,0.29777777777777775,93.86424657534246,0.29798173515981735,0.06305555555555559,6238.891454965358,66.46717661508694,202.24000000022352,252,216,24,0.144,144.127051,192.61,154.87,"[16, 15]",cartesian,15,300,5400,80,1,8361c6baf50cdcbece3cb3c53fd55176d427df1c,2021-03-09 15:54:06 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-03-09 15:54:06: Run 133'],4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_snowpatch_0.005,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_snowpatch_0.005/output134,4.471,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_snowpatch_0.005/restart134,1.354,Andrew Kiss,2021-03-09T16:32:27,18805653,0,[],normalbw,90.91,0.2886111111111111,90.97226712328766,0.2888087899543379,0.05277777777777781,6391.06916192026,70.25293931895683,202.21999999973923,252,216,24,0.153,154.973242,185.06,163.98,"[16, 15]",cartesian,15,300,5400,80,1,fa6738a86fa12202e3fd14667ea9918324cce681,2021-03-09 16:15:20 +1100,manifests/restart.yaml,['2021-03-09 16:15:20: Run 134'],4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_snowpatch_0.005,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_snowpatch_0.005/output135,4.471,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_snowpatch_0.005/restart135,1.354,Andrew Kiss,2021-03-09T16:51:31,18806662,0,[],normalbw,91.96,0.29194444444444445,92.02298630136985,0.29214440639269407,0.02583333333333332,6945.230769230769,75.47278183828492,203.3300000000745,252,216,24,0.141,140.245853,191.39,150.45,"[16, 15]",cartesian,15,300,5400,80,1,49a20bc2874d10b0a9bf908760ebe221274bd74a,2021-03-09 16:34:18 +1100,manifests/restart.yaml,['2021-03-09 16:34:18: Run 135'],4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_snowpatch_0.005,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_snowpatch_0.005/output136,4.48,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_snowpatch_0.005/restart136,1.354,Andrew Kiss,2021-03-09T17:12:50,18807315,0,[],normalbw,94.33,0.29944444444444446,94.13670081967213,0.29883082877959927,0.055833333333333346,6372.253322908522,67.69148767084141,244.4199999999255,252,216,24,0.151,154.543667,196.6,165.62,"[16, 15]",cartesian,15,300,5400,80,1,25271538297857e0c07e1e54a730e276ef207b1a,2021-03-09 16:55:24 +1100,manifests/restart.yaml,['2021-03-09 16:55:24: Run 136'],4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_snowpatch_0.005,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_snowpatch_0.005/output137,4.47,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_snowpatch_0.005/restart137,1.354,Andrew Kiss,2021-03-09T17:37:59,18808000,1,[18807468],normalbw,96.69,0.30694444444444446,96.75622602739726,0.3071546803652968,0.11222222222222222,5536.127236580516,57.21727132074085,262.1699999999255,252,216,24,0.153,155.001518,194.97,165.78,"[16, 15]",cartesian,15,300,5400,80,1,9197c66e75ce3f6c4168e8409beb037ac14308fb,2021-03-09 17:20:37 +1100,manifests/restart.yaml,['2021-03-09 17:20:37: Run 137'],4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_snowpatch_0.005,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_snowpatch_0.005/output138,4.467,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_snowpatch_0.005/restart138,1.354,Andrew Kiss,2021-03-09T17:57:54,18808642,0,[],normalbw,96.78,0.30722222222222223,96.84628767123287,0.3074326484018265,0.0247222222222222,6997.3154811715485,72.2517677179899,263.73000000044703,252,216,24,0.171,177.681597,200.32,189.41,"[16, 15]",cartesian,15,300,5400,80,1,4f8f8f0d823f34c07cefcadb2ef03e9d06c2ee55,2021-03-09 17:40:16 +1100,manifests/restart.yaml,['2021-03-09 17:40:15: Run 138'],4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_snowpatch_0.005,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_snowpatch_0.005/output139,4.47,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_snowpatch_0.005/restart139,1.354,Andrew Kiss,2021-03-09T18:19:07,18809558,0,[],normalbw,92.84,0.2947222222222222,92.9035890410959,0.29492408675799087,0.05888888888888888,6301.159465828752,67.82471517910287,262.03000000026077,252,216,24,0.145,146.038753,181.23,155.29,"[16, 15]",cartesian,15,300,5400,80,1,ab0d828d18676f04e5f46e640c25d9177f6d803d,2021-03-09 18:01:59 +1100,manifests/restart.yaml,['2021-03-09 18:01:59: Run 139'],4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_snowpatch_0.005,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_snowpatch_0.005/output140,4.471,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_snowpatch_0.005/restart140,1.354,Andrew Kiss,2021-03-09T18:40:34,18810012,0,[],normalbw,103.16,0.3275,102.94860655737705,0.32682889344262295,0.02999999999999997,6925.426573426574,67.27071696270875,202.65000000037253,252,216,24,0.259,297.055503,183.1,307.27,"[16, 15]",cartesian,15,300,5400,80,1,507b850c2237e93fa32eea8bc7ca10bc71430a3c,2021-03-09 18:21:09 +1100,manifests/restart.yaml,['2021-03-09 18:21:09: Run 140'],4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_snowpatch_0.005,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_snowpatch_0.005/output141,4.462,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_snowpatch_0.005/restart141,1.354,Andrew Kiss,2021-03-09T19:01:14,18810798,0,[],normalbw,91.0,0.28888888888888886,91.06232876712329,0.2890867579908675,0.05555555555555558,6340.645161290322,69.62972776048221,203.12999999988824,252,216,24,0.152,152.017262,191.79,162.61,"[16, 15]",cartesian,15,300,5400,80,1,c24a0c289e32eeb2c279a579b29a30d8b460708e,2021-03-09 18:44:13 +1100,manifests/restart.yaml,['2021-03-09 18:44:12: Run 141'],4940640
