,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_18,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_18/output132,4.459,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_18/restart132,1.353,Andrew Kiss,2021-02-25T22:21:30,18136271,0,[],normalbw,92.49,0.2936111111111111,92.3004713114754,0.2930094489981785,,,,191.0800000000745,252,216,24,0.161,164.526766,197.62,175.58,"[16, 15]",cartesian,15,300,5400,80,1,1502c5cacaa2f68b08814d2d54b11c52b41fd4e7,2021-02-25 22:04:06 +1100,,,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_18,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_18/output133,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_18/restart133,1.354,Andrew Kiss,2021-02-25T22:51:22,18138028,0,[],normalbw,92.05,0.2922222222222222,92.11304794520548,0.29242237442922375,0.20555555555555555,4438.125,48.18128483426226,192.53000000026077,252,216,24,0.145,145.573723,201.73,156.99,"[16, 15]",cartesian,15,300,5400,80,1,2819d0944aa7e43ee1c65b1113bb4fe78a9afcea,2021-02-25 22:34:10 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-02-25 22:34:10: Run 133'],4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_18,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_18/output134,4.451,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_18/restart134,1.354,Andrew Kiss,2021-02-25T23:32:52,18139005,0,[],normalbw,94.06,0.2986111111111111,94.12442465753425,0.2988156392694064,0.39305555555555555,3263.7686746987956,34.67504514979838,192.49000000022352,252,216,24,0.144,143.774531,194.81,154.77,"[16, 15]",cartesian,15,300,5400,80,1,e5f6381a6674d5a8a7fa07c84a71113bd7de8bbc,2021-02-25 23:15:08 +1100,manifests/restart.yaml,['2021-02-25 23:15:08: Run 134'],4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_18,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_18/output135,4.45,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_18/restart135,1.354,Andrew Kiss,2021-02-26T00:07:50,18140678,0,[],normalbw,91.0,0.28888888888888886,91.06232876712329,0.2890867579908675,0.29388888888888887,3747.5691134413732,41.153890573402265,192.3300000000745,252,216,24,0.146,146.520914,190.4,157.18,"[16, 15]",cartesian,15,300,5400,80,1,454175dd6ae888255b8f97fad7dbd598824d402c,2021-02-25 23:50:49 +1100,manifests/restart.yaml,['2021-02-25 23:50:49: Run 135'],4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_18,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_18/output136,4.462,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_18/restart136,1.354,Andrew Kiss,2021-02-26T00:40:12,18141726,0,[],normalbw,91.79,0.29138888888888886,91.60190573770493,0.2907917805100182,0.24805555555555553,4083.756951596293,44.5815719521144,203.88999999966472,252,216,24,0.143,144.84009,202.54,156.5,"[16, 15]",cartesian,15,300,5400,80,1,725816ff46e67e3e1a112c3c268f42465b4d6fef,2021-02-26 00:23:02 +1100,manifests/restart.yaml,['2021-02-26 00:23:02: Run 136'],4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_18,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_18/output137,4.453,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_18/restart137,1.354,Andrew Kiss,2021-02-26T01:15:29,18142023,0,[],normalbw,91.35,0.29,91.41256849315067,0.29019863013698627,0.2980555555555556,3728.2191780821913,40.7845358634851,203.24000000022352,252,216,24,0.146,146.939791,195.83,158.13,"[16, 15]",cartesian,15,300,5400,80,1,480ee079c04cf8c27629bca0dbbf5b255f7c54c1,2021-02-26 00:58:24 +1100,manifests/restart.yaml,['2021-02-26 00:58:24: Run 137'],4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_18,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_18/output138,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_18/restart138,1.354,Andrew Kiss,2021-02-26T01:42:44,18142276,0,[],normalbw,91.88,0.2916666666666667,91.9429315068493,0.2918664383561644,0.16249999999999998,4855.310091743119,52.807866925381006,261.7599999997765,252,216,24,0.144,143.47417,197.35,154.74,"[16, 15]",cartesian,15,300,5400,80,1,bd2955a42f20f61015c380f0005a89ebfab40700,2021-02-26 01:25:48 +1100,manifests/restart.yaml,['2021-02-26 01:25:48: Run 138'],4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_18,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_18/output139,4.45,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_18/restart139,1.354,Andrew Kiss,2021-02-26T02:14:54,18142691,0,[],normalbw,90.65,0.2877777777777778,90.7120890410959,0.2879748858447489,0.2483333333333333,4058.113989637306,44.73619814663106,192.57000000029802,252,216,24,0.144,144.145839,188.41,154.73,"[16, 15]",cartesian,15,300,5400,80,1,c61f1741123dcb5ece45f5a993f7f1b85c4f129c,2021-02-26 01:57:50 +1100,manifests/restart.yaml,['2021-02-26 01:57:50: Run 139'],4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_18,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_18/output140,4.454,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_18/restart140,1.354,Andrew Kiss,2021-02-26T03:02:18,18143215,0,[],normalbw,92.4,0.29333333333333333,92.21065573770493,0.29273224043715845,0.4966666666666667,2807.0886075949365,30.442128245782754,262.4400000004098,252,216,24,0.142,140.982279,193.37,152.03,"[16, 15]",cartesian,15,300,5400,80,1,b3813d510059e2ae51404d5e9dfab950fdf21a71,2021-02-26 02:45:07 +1100,manifests/restart.yaml,['2021-02-26 02:45:07: Run 140'],4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_18,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_18/output141,4.442,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_18/restart141,1.354,Andrew Kiss,2021-02-26T03:38:18,18143602,0,[],normalbw,90.3,0.2866666666666667,90.36184931506848,0.28686301369863015,0.3133333333333333,3612.0,39.97262149212868,195.79999999981374,252,216,24,0.141,140.258839,201.34,151.78,"[16, 15]",cartesian,15,300,5400,80,1,b9e1667905568f4087d73b7c4597fbb2a2c10dff,2021-02-26 03:21:20 +1100,manifests/restart.yaml,['2021-02-26 03:21:20: Run 141'],4940640
